"periode_data","tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"201201","2012-01-01","52","18","39","63","7","63","O3","SEDANG","DKI2"
"201201","2012-01-02","49","22","28","55","11","55","O3","SEDANG","DKI2"
"201201","2012-01-03","65","15","42","86","22","86","O3","SEDANG","DKI1"
"201201","2012-01-04","69","20","55","97","20","97","O3","SEDANG","DKI1"
"201201","2012-01-05","67","14","39","157","25","157","O3","TIDAK SEHAT","DKI2"
"201201","2012-01-06","52","28","47","68","11","68","O3","SEDANG","DKI2"
"201201","2012-01-07","61","20","54","73","13","73","O3","SEDANG","DKI2"
"201201","2012-01-08","48","15","48","90","13","90","O3","SEDANG","DKI2"
"201201","2012-01-09","60","16","63","72","21","72","O3","SEDANG","DKI1"
"201201","2012-01-10","39","16","29","69","13","69","O3","SEDANG","DKI2"
"201201","2012-01-11","42","16","31","75","14","75","O3","SEDANG","DKI2"
"201201","2012-01-12","42","20","37","52","13","52","O3","SEDANG","DKI2"
"201201","2012-01-13","40","19","27","55","13","55","O3","SEDANG","DKI2"
"201201","2012-01-14","34","19","34","54","7","54","O3","SEDANG","DKI1"
"201201","2012-01-15","39","18","20","89","10","89","O3","SEDANG","DKI2"
"201201","2012-01-16","50","18","30","86","16","86","O3","SEDANG","DKI2"
"201201","2012-01-17","65","30","33","94","23","94","O3","SEDANG","DKI2"
"201201","2012-01-18","60","45","38","98","19","98","O3","SEDANG","DKI2"
"201201","2012-01-19","60","22","43","65","16","65","O3","SEDANG","DKI2"
"201201","2012-01-20","60","17","33","73","12","73","O3","SEDANG","DKI2"
"201201","2012-01-21","57","25","29","90","21","90","O3","SEDANG","DKI1"
"201201","2012-01-22","71","21","99","95","14","99","CO","SEDANG","DKI4"
"201201","2012-01-23","44","17","15","78","10","78","O3","SEDANG","DKI2"
"201201","2012-01-24","55","26","24","48","11","55","PM10","SEDANG","DKI4"
"201201","2012-01-25","48","22","24","62","15","62","O3","SEDANG","DKI1"
"201201","2012-01-26","54","23","30","81","11","81","O3","SEDANG","DKI2"
"201201","2012-01-27","51","20","26","96","14","96","O3","SEDANG","DKI2"
"201201","2012-01-28","44","24","26","85","17","85","O3","SEDANG","DKI1"
"201201","2012-01-29","33","15","15","75","9","75","O3","SEDANG","DKI2"
"201201","2012-01-30","40","21","29","130","10","130","O3","TIDAK SEHAT","DKI2"
"201201","2012-01-31","31","18","29","61","12","61","O3","SEDANG","DKI2"
"201207","2012-07-01","88","25","19","81","17","88","PM10","SEDANG","DKI4"
"201207","2012-07-02","134","28","30","80","19","134","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-03","106","31","33","72","17","106","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-04","85","26","40","98","23","98","O3","SEDANG","DKI3"
"201207","2012-07-05","86","29","36","82","22","86","PM10","SEDANG","DKI4"
"201207","2012-07-06","97","30","35","77","19","97","PM10","SEDANG","DKI4"
"201207","2012-07-07","127","20","23","101","18","127","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-08","140","19","34","112","17","140","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-09","114","18","43","125","33","125","O3","TIDAK SEHAT","DKI3"
"201207","2012-07-10","116","23","37","119","25","119","O3","TIDAK SEHAT","DKI3"
"201207","2012-07-11","105","27","33","88","27","105","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-12","86","31","33","131","20","131","O3","TIDAK SEHAT","DKI2"
"201207","2012-07-13","106","27","44","130","30","130","O3","TIDAK SEHAT","DKI4"
"201207","2012-07-14","107","25","41","147","29","147","O3","TIDAK SEHAT","DKI1"
"201207","2012-07-15","145","28","36","84","21","145","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-16","118","27","37","92","28","118","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-17","72","23","32","126","25","126","O3","TIDAK SEHAT","DKI2"
"201207","2012-07-18","76","21","32","128","30","128","O3","TIDAK SEHAT","DKI2"
"201207","2012-07-19","110","33","53","113","28","113","O3","TIDAK SEHAT","DKI3"
"201207","2012-07-20","77","28","35","77","18","77","PM10","SEDANG","DKI1"
"201207","2012-07-21","73","24","28","113","19","113","O3","TIDAK SEHAT","DKI3"
"201207","2012-07-22","120","17","19","87","16","120","PM10","TIDAK SEHAT","DKI4"
"201207","2012-07-27","114","40","37","276","29","276","O3","SANGAT TIDAK SEHAT","DKI2"
"201207","2012-07-28","148","28","36","288","26","288","O3","SANGAT TIDAK SEHAT","DKI2"
"201207","2012-07-29","150","22","24","234","16","234","O3","SANGAT TIDAK SEHAT","DKI2"
"201207","2012-07-30","107","21","33","215","20","215","O3","SANGAT TIDAK SEHAT","DKI2"
"201207","2012-07-31","107","24","36","221","21","221","O3","SANGAT TIDAK SEHAT","DKI2"
"201208","2012-08-01","123","27","36","236","25","236","O3","SANGAT TIDAK SEHAT","DKI2"
"201208","2012-08-02","103","33","40","244","35","244","O3","SANGAT TIDAK SEHAT","DKI2"
"201208","2012-08-03","81","25","37","216","20","216","O3","SANGAT TIDAK SEHAT","DKI2"
"201208","2012-08-04","101","26","27","72","15","101","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-05","139","25","16","73","15","139","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-06","136","26","38","106","19","136","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-07","97","23","36","146","25","146","O3","TIDAK SEHAT","DKI3"
"201208","2012-08-08","83","25","34","125","24","125","O3","TIDAK SEHAT","DKI3"
"201208","2012-08-09","171","31","32","71","26","171","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-10","140","33","31","61","22","140","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-11","114","32","22","97","17","114","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-12","121","27","22","86","26","121","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-13","132","25","37","95","20","132","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-14","97","22","33","82","24","97","PM10","SEDANG","DKI4"
"201208","2012-08-15","94","23","29","68","22","94","PM10","SEDANG","DKI4"
"201208","2012-08-16","99","27","24","73","16","99","PM10","SEDANG","DKI4"
"201208","2012-08-17","98","23","20","78","15","98","PM10","SEDANG","DKI4"
"201208","2012-08-18","166","22","25","82","15","166","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-19","109","21","27","73","11","109","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-20","65","19","10","78","14","78","O3","SEDANG","DKI3"
"201208","2012-08-21","72","23","25","78","11","78","O3","SEDANG","DKI3"
"201208","2012-08-22","75","21","13","88","16","88","O3","SEDANG","DKI1"
"201208","2012-08-23","85","22","18","125","13","125","O3","TIDAK SEHAT","DKI3"
"201208","2012-08-24","89","29","16","99","15","99","O3","SEDANG","DKI3"
"201208","2012-08-25","73","23","14","104","16","104","O3","TIDAK SEHAT","DKI3"
"201208","2012-08-26","95","24","17","91","11","95","PM10","SEDANG","DKI4"
"201208","2012-08-27","78","23","30","94","21","94","O3","SEDANG","DKI4"
"201208","2012-08-28","128","45","33","115","20","128","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-29","77","22","33","103","23","103","O3","TIDAK SEHAT","DKI3"
"201208","2012-08-30","149","27","30","83","20","149","PM10","TIDAK SEHAT","DKI4"
"201208","2012-08-31","106","28","27","90","18","106","PM10","TIDAK SEHAT","DKI4"
"201209","2012-09-01","77","31","25","99","19","99","O3","SEDANG","DKI3"
"201209","2012-09-02","128","40","25","127","20","128","PM10","TIDAK SEHAT","DKI4"
"201209","2012-09-03","77","26","32","97","20","97","O3","SEDANG","DKI3"
"201209","2012-09-04","82","33","29","89","22","89","O3","SEDANG","DKI3"
"201209","2012-09-05","71","29","33","112","26","112","O3","TIDAK SEHAT","DKI2"
"201209","2012-09-06","84","27","31","124","20","124","O3","TIDAK SEHAT","DKI2"
"201209","2012-09-07","78","26","31","109","21","109","O3","TIDAK SEHAT","DKI3"
"201209","2012-09-08","74","25","27","65","19","74","PM10","SEDANG","DKI1"
"201209","2012-09-09","71","24","18","96","21","96","O3","SEDANG","DKI1"
"201209","2012-09-10","71","23","35","122","20","122","O3","TIDAK SEHAT","DKI3"
"201209","2012-09-11","78","27","34","175","26","175","O3","TIDAK SEHAT","DKI3"
"201209","2012-09-12","82","31","49","167","21","167","O3","TIDAK SEHAT","DKI3"
"201209","2012-09-13","70","30","29","79","27","79","O3","SEDANG","DKI3"
"201209","2012-09-14","84","37","28","144","25","144","O3","TIDAK SEHAT","DKI3"
"201209","2012-09-15","131","54","27","218","29","218","O3","SANGAT TIDAK SEHAT","DKI2"
"201203","2012-03-01","73","56","51","137","15","137","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-02","56","38","38","136","16","136","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-03","56","25","51","76","17","76","O3","SEDANG","DKI1"
"201203","2012-03-04","47","20","21","94","6","94","O3","SEDANG","DKI2"
"201203","2012-03-05","52","25","30","140","13","140","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-06","47","51","37","90","14","90","O3","SEDANG","DKI4"
"201203","2012-03-07","74","36","30","99","18","99","O3","SEDANG","DKI2"
"201203","2012-03-08","36","14","29","95","13","95","O3","SEDANG","DKI2"
"201203","2012-03-09","38","13","27","88","12","88","O3","SEDANG","DKI2"
"201203","2012-03-10","50","14","41","115","17","115","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-11","43","12","23","100","17","100","O3","SEDANG","DKI2"
"201203","2012-03-12","52","13","23","177","11","177","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-13","61","12","27","96","14","96","O3","SEDANG","DKI2"
"201203","2012-03-14","53","13","30","143","13","143","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-15","51","23","30","78","15","78","O3","SEDANG","DKI2"
"201203","2012-03-16","49","20","29","131","13","131","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-17","53","29","30","90","15","90","O3","SEDANG","DKI2"
"201203","2012-03-18","51","20","19","99","11","99","O3","SEDANG","DKI2"
"201203","2012-03-19","47","27","23","92","11","92","O3","SEDANG","DKI2"
"201203","2012-03-20","37","17","23","36","7","37","PM10","BAIK","DKI4"
"201203","2012-03-21","38","17","17","42","5","42","O3","BAIK","DKI1"
"201203","2012-03-22","49","17","19","48","5","49","PM10","BAIK","DKI4"
"201203","2012-03-23","59","17","19","35","7","59","PM10","SEDANG","DKI4"
"201203","2012-03-24","59","17","17","122","9","122","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-25","97","18","18","125","11","125","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-26","80","34","32","98","17","98","O3","SEDANG","DKI2"
"201203","2012-03-27","87","38","45","136","29","136","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-28","84","25","54","95","18","95","O3","SEDANG","DKI2"
"201203","2012-03-29","60","28","32","142","14","142","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-30","48","31","35","112","22","112","O3","TIDAK SEHAT","DKI2"
"201203","2012-03-31","60","28","29","204","31","204","O3","SANGAT TIDAK SEHAT","DKI2"
"201204","2012-04-01","66","31","34","207","18","207","O3","SANGAT TIDAK SEHAT","DKI2"
"201204","2012-04-02","67","23","38","191","24","191","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-03","54","21","36","208","26","208","O3","SANGAT TIDAK SEHAT","DKI2"
"201204","2012-04-04","51","25","38","110","23","110","O3","TIDAK SEHAT","DKI1"
"201204","2012-04-05","73","29","33","99","23","99","O3","SEDANG","DKI2"
"201204","2012-04-06","67","30","30","80","15","80","O3","SEDANG","DKI2"
"201204","2012-04-07","66","21","33","92","17","92","O3","SEDANG","DKI2"
"201204","2012-04-08","63","25","27","133","11","133","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-09","73","29","51","151","19","151","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-10","64","29","35","106","20","106","O3","TIDAK SEHAT","DKI3"
"201204","2012-04-11","87","36","48","110","24","110","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-12","68","27","36","147","19","147","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-13","66","27","30","126","16","126","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-14","77","26","25","141","13","141","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-15","72","21","21","194","10","194","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-16","114","26","30","167","17","167","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-17","84","24","30","210","13","210","O3","SANGAT TIDAK SEHAT","DKI2"
"201204","2012-04-18","86","29","48","144","23","144","O3","TIDAK SEHAT","DKI2"
"201204","2012-04-19","65","27","34","211","21","211","O3","SANGAT TIDAK SEHAT","DKI2"
"201204","2012-04-20","115","24","48","212","26","212","O3","SANGAT TIDAK SEHAT","DKI2"
"201204","2012-04-21","82","16","47","214","20","214","O3","SANGAT TIDAK SEHAT","DKI2"
"201202","2012-02-01","81","44","68","105","21","105","O3","TIDAK SEHAT","DKI2"
"201202","2012-02-02","54","52","34","74","17","74","O3","SEDANG","DKI1"
"201202","2012-02-03","55","31","44","59","14","59","O3","SEDANG","DKI1"
"201202","2012-02-04","59","29","41","57","12","59","PM10","SEDANG","DKI1"
"201202","2012-02-05","61","23","53","90","22","90","O3","SEDANG","DKI2"
"201202","2012-02-06","61","26","34","70","13","70","O3","SEDANG","DKI2"
"201202","2012-02-07","55","22","34","72","17","72","O3","SEDANG","DKI1"
"201202","2012-02-08","78","13","29","72","14","78","PM10","SEDANG","DKI4"
"201202","2012-02-09","50","12","37","78","13","78","O3","SEDANG","DKI1"
"201202","2012-02-10","49","13","25","112","13","112","O3","TIDAK SEHAT","DKI2"
"201202","2012-02-11","64","17","46","134","13","134","O3","TIDAK SEHAT","DKI2"
"201202","2012-02-12","40","11","20","91","12","91","O3","SEDANG","DKI2"
"201202","2012-02-13","40","11","37","171","24","171","O3","TIDAK SEHAT","DKI2"
"201202","2012-02-14","80","17","53","100","24","100","O3","SEDANG","DKI2"
"201202","2012-02-15","60","16","42","157","23","157","O3","TIDAK SEHAT","DKI2"
"201202","2012-02-16","84","16","34","93","25","93","O3","SEDANG","DKI2"
"201202","2012-02-17","123","44","41","154","26","154","O3","TIDAK SEHAT","DKI2"
"201202","2012-02-18","57","24","28","100","17","100","O3","SEDANG","DKI3"
