"periode_data","tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"201301","2013-01-01","75","4","27","135","10","135","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-02","35","4","26","192","8","192","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-03","61","5","36","195","9","195","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-04","39","4","13","210","10","210","O3","SANGAT TIDAK SEHAT","DKI2"
"201301","2013-01-05","53","5","14","111","8","111","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-06","32","3","20","150","9","150","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-07","28","4","14","170","11","170","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-08","33","2","25","31","6","33","PM10","BAIK","DKI4"
"201301","2013-01-09","21","2","18","92","7","92","O3","SEDANG","DKI2"
"201301","2013-01-10","24","4","16","76","6","76","O3","SEDANG","DKI2"
"201301","2013-01-11","39","5","15","53","5","53","O3","SEDANG","DKI2"
"201301","2013-01-12","38","7","16","140","6","140","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-13","37","3","37","154","11","154","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-14","49","4","26","171","13","171","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-15","53","3","40","154","22","154","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-16","54","6","37","159","20","159","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-17","59","8","42","186","18","186","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-18","49","3","37","202","27","202","O3","SANGAT TIDAK SEHAT","DKI2"
"201301","2013-01-19","84","7","78","110","33","110","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-20","39","3","17","152","11","152","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-21","55","6","23","170","12","170","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-22","61","6","29","195","14","195","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-23","57","9","50","139","15","139","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-24","40","5","28","135","10","135","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-25","51","8","34","155","15","155","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-26","62","9","50","144","15","144","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-27","52","5","25","122","11","122","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-28","41","5","29","195","14","195","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-29","69","7","44","184","15","184","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-30","55","5","29","151","14","151","O3","TIDAK SEHAT","DKI2"
"201301","2013-01-31","74","9","36","195","20","195","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-01","48","8","24","125","14","125","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-02","54","7","26","216","12","216","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-03","63","7","33","217","14","217","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-04","46","5","26","217","14","217","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-05","44","5","38","132","16","132","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-06","103","17","80","99","35","103","PM10","TIDAK SEHAT","DKI1"
"201303","2013-03-07","87","20","90","166","30","166","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-08","64","12","34","183","17","183","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-09","64","12","48","213","15","213","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-10","58","7","22","170","8","170","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-11","51","7","20","172","16","172","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-12","75","32","30","187","37","187","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-13","58","9","33","204","16","204","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-14","64","25","17","207","19","207","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-15","82","15","38","205","19","205","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-16","67","13","29","210","18","210","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-17","58","12","33","212","13","212","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-18","61","11","30","176","15","176","O3","TIDAK SEHAT","DKI2"
"201303","2013-03-19","69","36","37","206","21","206","O3","SANGAT TIDAK SEHAT","DKI2"
"201303","2013-03-20","68","14","36","217","20","217","O3","SANGAT TIDAK SEHAT","DKI2"
