"periode_data","tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"201903","2019-03-01","58","19","29","70","15","70","O3","SEDANG","DKI3"
"201903","2019-03-02","50","51","25","62","12","62","O3","SEDANG","DKI3"
"201903","2019-03-03","53","23","22","82","15","82","O3","SEDANG","DKI5"
"201903","2019-03-04","55","22","32","104","22","104","O3","TIDAK SEHAT","DKI3"
"201903","2019-03-05","47","21","28","83","22","83","O3","SEDANG","DKI5"
"201903","2019-03-06","54","21","25","60","19","60","O3","SEDANG","DKI3"
"201903","2019-03-07","55","24","39","112","17","112","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-08","78","25","41","155","27","155","O3","TIDAK SEHAT","DKI3"
"201903","2019-03-09","67","35","29","215","27","215","O3","SANGAT TIDAK SEHAT","DKI5"
"201903","2019-03-10","60","26","23","164","19","164","O3","TIDAK SEHAT","DKI2"
"201903","2019-03-11","55","23","20","55","18","55","PM10","SEDANG","DKI2"
"201903","2019-03-12","41","20","20","51","12","51","O3","SEDANG","DKI3"
"201903","2019-03-13","50","27","28","122","22","122","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-14","58","26","52","162","36","162","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-15","71","29","29","132","35","132","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-16","60","26","43","128","15","128","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-17","51","21","18","82","9","82","O3","SEDANG","DKI5"
"201903","2019-03-18","52","21","18","65","10","65","O3","SEDANG","DKI3"
"201903","2019-03-19","38","20","18","68","6","68","O3","SEDANG","DKI3"
"201903","2019-03-20","38","20","16","65","12","65","O3","SEDANG","DKI5"
"201903","2019-03-21","58","21","21","74","10","74","O3","SEDANG","DKI5"
"201903","2019-03-22","55","20","24","58","12","58","O3","SEDANG","DKI5"
"201903","2019-03-23","40","20","15","75","15","75","O3","SEDANG","DKI5"
"201903","2019-03-24","36","20","9","55","4","55","O3","SEDANG","DKI5"
"201903","2019-03-25","40","20","14","42","7","42","O3","BAIK","DKI5"
"201903","2019-03-26","71","21","36","89","16","89","O3","SEDANG","DKI5"
"201903","2019-03-27","57","22","25","192","15","192","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-28","56","21","36","130","18","130","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-29","62","24","34","182","20","182","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-30","62","24","25","190","16","190","O3","TIDAK SEHAT","DKI5"
"201903","2019-03-31","62","23","35","194","18","194","O3","TIDAK SEHAT","DKI5"
"201906","2019-06-01","63","23","19","104","15","104","O3","TIDAK SEHAT","DKI2"
"201906","2019-06-02","70","23","23","106","14","106","O3","TIDAK SEHAT","DKI2"
"201906","2019-06-03","55","23","18","89","10","89","O3","SEDANG","DKI3"
"201906","2019-06-04","75","24","20","82","11","82","O3","SEDANG","DKI3"
"201906","2019-06-05","82","25","26","65","13","82","PM10","SEDANG","DKI4"
"201906","2019-06-06","51","23","11","75","9","75","O3","SEDANG","DKI3"
"201906","2019-06-07","51","24","11","54","8","54","O3","SEDANG","DKI4"
"201906","2019-06-08","50","22","13","105","9","105","O3","TIDAK SEHAT","DKI2"
"201906","2019-06-09","51","23","18","98","15","98","O3","SEDANG","DKI5"
"201906","2019-06-10","57","23","20","88","16","88","O3","SEDANG","DKI5"
"201906","2019-06-11","57","24","22","105","22","105","O3","TIDAK SEHAT","DKI5"
"201906","2019-06-12","68","24","22","108","18","108","O3","TIDAK SEHAT","DKI5"
"201906","2019-06-13","79","24","25","148","21","148","O3","TIDAK SEHAT","DKI4"
"201906","2019-06-14","73","25","21","98","16","98","O3","SEDANG","DKI3"
"201906","2019-06-15","57","24","27","112","24","112","O3","TIDAK SEHAT","DKI3"
"201906","2019-06-16","66","24","24","107","17","107","O3","TIDAK SEHAT","DKI3"
"201906","2019-06-17","75","25","24","93","14","93","O3","SEDANG","DKI3"
"201906","2019-06-18","69","27","20","74","12","74","O3","SEDANG","DKI3"
"201906","2019-06-19","80","27","19","92","16","92","O3","SEDANG","DKI5"
"201906","2019-06-20","87","25","34","99","17","99","O3","SEDANG","DKI5"
"201906","2019-06-21","79","27","23","103","13","103","O3","TIDAK SEHAT","DKI3"
"201906","2019-06-22","80","28","19","133","15","133","O3","TIDAK SEHAT","DKI4"
"201901","2019-01-01","29","15","7","71","13","71","O3","SEDANG","DKI2"
"201901","2019-01-02","24","17","6","79","6","79","O3","SEDANG","DKI2"
"201901","2019-01-03","23","16","6","65","4","65","O3","SEDANG","DKI2"
"201901","2019-01-04","42","18","10","64","11","64","O3","SEDANG","DKI2"
"201901","2019-01-05","54","29","16","51","20","54","PM10","SEDANG","DKI3"
"201901","2019-01-06","69","34","30","105","27","105","O3","TIDAK SEHAT","DKI2"
"201901","2019-01-07","71","47","16","132","25","132","O3","TIDAK SEHAT","DKI3"
"201901","2019-01-08","51","22","25","143","26","143","O3","TIDAK SEHAT","DKI3"
"201901","2019-01-09","61","22","28","198","21","198","O3","TIDAK SEHAT","DKI1"
"201901","2019-01-10","59","22","27","128","18","128","O3","TIDAK SEHAT","DKI1"
"201901","2019-01-11","63","23","28","91","13","91","O3","SEDANG","DKI3"
"201901","2019-01-12","57","26","24","90","16","90","O3","SEDANG","DKI3"
"201901","2019-01-13","65","24","28","119","15","119","O3","TIDAK SEHAT","DKI3"
"201901","2019-01-14","65","25","32","99","18","99","O3","SEDANG","DKI1"
"201901","2019-01-15","72","27","26","59","13","72","PM10","SEDANG","DKI3"
"201901","2019-01-16","37","23","19","64","7","64","O3","SEDANG","DKI3"
"201901","2019-01-17","56","23","23","101","14","101","O3","TIDAK SEHAT","DKI1"
"201901","2019-01-18","27","23","16","103","13","103","O3","TIDAK SEHAT","DKI1"
"201901","2019-01-19","44","24","27","127","13","127","O3","TIDAK SEHAT","DKI1"
"201901","2019-01-20","74","30","39","82","17","82","O3","SEDANG","DKI3"
"201901","2019-01-21","62","24","22","94","12","94","O3","SEDANG","DKI3"
"201901","2019-01-22","39","24","23","92","9","92","O3","SEDANG","DKI3"
"201901","2019-01-23","59","23","37","70","14","70","O3","SEDANG","DKI3"
"201901","2019-01-24","51","19","20","81","12","81","O3","SEDANG","DKI3"
"201901","2019-01-25","32","19","25","74","12","74","O3","SEDANG","DKI3"
"201901","2019-01-26","63","22","37","118","17","118","O3","TIDAK SEHAT","DKI1"
"201901","2019-01-27","56","18","49","74","10","74","O3","SEDANG","DKI3"
"201901","2019-01-28","53","20","34","77","15","77","O3","SEDANG","DKI3"
"201901","2019-01-29","48","19","33","88","11","88","O3","SEDANG","DKI3"
"201901","2019-01-30","47","21","32","73","16","73","O3","SEDANG","DKI1"
"201901","2019-01-31","56","23","22","54","17","56","PM10","SEDANG","DKI3"
"201902","2019-02-01","61","20","47","93","12","93","O3","SEDANG","DKI1"
"201902","2019-02-02","61","37","47","79","14","79","O3","SEDANG","DKI3"
"201902","2019-02-03","64","26","34","95","13","95","O3","SEDANG","DKI3"
"201902","2019-02-04","56","27","27","86","10","86","O3","SEDANG","DKI3"
"201902","2019-02-05","57","20","36","80","10","80","O3","SEDANG","DKI3"
"201902","2019-02-06","52","26","20","75","13","75","O3","SEDANG","DKI3"
"201902","2019-02-07","70","39","34","65","19","70","PM10","SEDANG","DKI2"
"201902","2019-02-08","63","44","23","132","18","132","O3","TIDAK SEHAT","DKI1"
"201902","2019-02-09","59","24","25","144","22","144","O3","TIDAK SEHAT","DKI1"
"201902","2019-02-10","59","23","28","81","17","81","O3","SEDANG","DKI3"
"201902","2019-02-11","37","19","19","71","16","71","O3","SEDANG","DKI3"
"201902","2019-02-12","56","34","36","94","17","94","O3","SEDANG","DKI3"
"201902","2019-02-13","67","26","43","71","18","71","O3","SEDANG","DKI3"
"201902","2019-02-14","73","35","39","91","17","91","O3","SEDANG","DKI3"
"201902","2019-02-15","54","23","19","89","14","89","O3","SEDANG","DKI3"
"201902","2019-02-16","42","21","15","111","12","111","O3","TIDAK SEHAT","DKI3"
"201902","2019-02-17","55","20","20","79","12","79","O3","SEDANG","DKI3"
"201902","2019-02-18","51","23","31","88","22","88","O3","SEDANG","DKI3"
"201902","2019-02-19","72","26","31","123","21","123","O3","TIDAK SEHAT","DKI5"
"201902","2019-02-20","69","24","41","70","23","70","O3","SEDANG","DKI4"
"201902","2019-02-21","69","26","29","86","18","86","O3","SEDANG","DKI3"
"201902","2019-02-22","60","34","34","77","19","77","O3","SEDANG","DKI3"
"201902","2019-02-23","42","22","24","102","15","102","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-17","71","27","22","174","14","174","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-18","69","27","25","108","10","108","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-19","71","29","25","185","19","185","O3","TIDAK SEHAT","DKI4"
"201908","2019-08-20","75","31","23","171","18","171","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-21","70","30","20","76","11","76","O3","SEDANG","DKI3"
"201902","2019-02-24","57","26","29","88","14","88","O3","SEDANG","DKI3"
"201902","2019-02-25","59","28","32","115","12","115","O3","TIDAK SEHAT","DKI3"
"201902","2019-02-26","61","29","25","88","14","88","O3","SEDANG","DKI3"
"201902","2019-02-27","64","22","24","67","17","67","O3","SEDANG","DKI3"
"201902","2019-02-28","56","21","22","98","13","98","O3","SEDANG","DKI5"
"201908","2019-08-16","92","28","48","207","19","207","O3","SANGAT TIDAK SEHAT","DKI5"
"201908","2019-08-22","70","21","20","88","14","88","O3","SEDANG","DKI5"
"201908","2019-08-23","81","28","29","201","18","201","O3","SANGAT TIDAK SEHAT","DKI5"
"201908","2019-08-24","77","28","22","171","19","171","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-25","66","29","17","128","12","128","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-26","78","30","22","184","16","184","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-27","79","35","24","149","22","149","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-28","69","27","28","108","17","108","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-29","76","28","28","132","14","132","O3","TIDAK SEHAT","DKI5"
"201908","2019-08-30","72","30","22","96","12","96","O3","SEDANG","DKI5"
"201908","2019-08-31","76","29","30","78","15","78","O3","SEDANG","DKI3"
"201909","2019-09-11","75","32","25","160","16","160","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-12","78","30","25","143","18","143","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-13","84","33","23","156","18","156","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-14","76","32","21","156","15","156","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-15","74","31","22","99","14","99","O3","SEDANG","DKI5"
"201909","2019-09-16","67","30","24","74","10","74","O3","SEDANG","DKI5"
"201909","2019-09-17","66","32","21","77","14","77","O3","SEDANG","DKI5"
"201909","2019-09-18","71","32","22","132","16","132","O3","TIDAK SEHAT","DKI3"
"201909","2019-09-19","70","32","25","107","12","107","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-20","66","31","19","91","13","91","O3","SEDANG","DKI5"
"201909","2019-09-21","63","34","16","169","14","169","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-22","78","32","16","153","12","153","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-23","70","33","18","87","12","87","O3","SEDANG","DKI5"
"201909","2019-09-24","73","32","18","112","12","112","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-25","78","26","24","174","17","174","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-26","74","31","21","110","14","110","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-27","72","31","23","131","16","131","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-28","63","33","18","102","10","102","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-29","75","31","19","115","14","115","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-30","71","31","18","146","14","146","O3","TIDAK SEHAT","DKI5"
"201904","2019-04-01","68","21","37","167","20","167","O3","TIDAK SEHAT","DKI5"
"201904","2019-04-02","72","21","49","101","15","101","O3","TIDAK SEHAT","DKI5"
"201904","2019-04-03","69","21","44","146","18","146","O3","TIDAK SEHAT","DKI5"
"201904","2019-04-04","61","21","30","172","17","172","O3","TIDAK SEHAT","DKI5"
"201904","2019-04-05","59","25","25","83","18","83","O3","SEDANG","DKI5"
"201904","2019-04-06","74","21","38","195","23","195","O3","TIDAK SEHAT","DKI5"
"201904","2019-04-07","72","21","41","243","13","243","O3","SANGAT TIDAK SEHAT","DKI5"
"201904","2019-04-08","57","22","24","235","17","235","O3","SANGAT TIDAK SEHAT","DKI5"
"201904","2019-04-09","72","25","27","127","18","127","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-10","82","25","32","199","27","199","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-11","69","23","23","153","17","153","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-12","55","22","38","78","10","78","O3","SEDANG","DKI2"
"201904","2019-04-13","55","21","42","62","10","62","O3","SEDANG","DKI2"
"201904","2019-04-14","45","22","37","112","14","112","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-15","64","22","39","122","23","122","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-16","62","22","43","119","16","119","O3","TIDAK SEHAT","DKI5"
"201904","2019-04-17","69","22","39","80","16","80","O3","SEDANG","DKI4"
"201904","2019-04-18","73","21","26","111","16","111","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-19","60","22","21","42","9","60","PM10","SEDANG","DKI4"
"201904","2019-04-20","33","21","16","105","20","105","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-21","60","22","27","110","16","110","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-22","60","23","24","63","9","63","O3","SEDANG","DKI3"
"201904","2019-04-23","63","24","18","73","10","73","O3","SEDANG","DKI3"
"201904","2019-04-24","57","22","20","72","15","72","O3","SEDANG","DKI3"
"201904","2019-04-25","67","22","45","85","12","85","O3","SEDANG","DKI3"
"201904","2019-04-26","42","21","22","124","22","124","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-27","55","21","38","90","11","90","O3","SEDANG","DKI3"
"201904","2019-04-28","65","22","46","78","11","78","O3","SEDANG","DKI5"
"201904","2019-04-29","56","22","35","130","19","130","O3","TIDAK SEHAT","DKI3"
"201904","2019-04-30","59","22","29","111","21","111","O3","TIDAK SEHAT","DKI3"
"201905","2019-05-01","53","21","29","80","11","80","O3","SEDANG","DKI5"
"201905","2019-05-02","48","13","18","29","6","48","PM10","BAIK","DKI3"
"201905","2019-05-03","50","26","24","99","16","99","O3","SEDANG","DKI3"
"201905","2019-05-04","72","22","32","92","15","92","O3","SEDANG","DKI3"
"201905","2019-05-05","59","22","34","91","15","91","O3","SEDANG","DKI5"
"201905","2019-05-06","52","16","22","93","13","93","O3","SEDANG","DKI3"
"201905","2019-05-07","71","18","31","89","16","89","O3","SEDANG","DKI3"
"201905","2019-05-08","77","23","52","132","21","132","O3","TIDAK SEHAT","DKI3"
"201905","2019-05-09","69","23","32","149","22","149","O3","TIDAK SEHAT","DKI3"
"201905","2019-05-10","57","22","26","87","16","87","O3","SEDANG","DKI2"
"201905","2019-05-11","52","21","22","65","13","65","O3","SEDANG","DKI5"
"201905","2019-05-12","69","22","24","76","12","76","O3","SEDANG","DKI4"
"201909","2019-09-01","74","22","26","109","10","109","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-02","71","20","24","187","16","187","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-03","73","31","20","141","20","141","O3","TIDAK SEHAT","DKI3"
"201909","2019-09-04","78","30","24","144","13","144","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-05","75","30","26","113","12","113","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-06","74","30","23","127","15","127","O3","TIDAK SEHAT","DKI3"
"201909","2019-09-07","73","30","26","127","15","127","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-08","65","31","20","126","11","126","O3","TIDAK SEHAT","DKI5"
"201909","2019-09-09","67","29","20","106","14","106","O3","TIDAK SEHAT","DKI3"
"201909","2019-09-10","70","30","21","91","13","91","O3","SEDANG","DKI5"
"201906","2019-06-23","72","26","20","134","17","134","O3","TIDAK SEHAT","DKI3"
"201906","2019-06-24","79","27","20","103","13","103","O3","TIDAK SEHAT","DKI5"
"201906","2019-06-25","89","26","25","89","14","89","PM10","SEDANG","DKI2"
"201906","2019-06-26","84","27","21","80","15","84","PM10","SEDANG","DKI2"
"201906","2019-06-27","81","26","25","142","17","142","O3","TIDAK SEHAT","DKI3"
"201906","2019-06-28","69","29","28","143","21","143","O3","TIDAK SEHAT","DKI3"
"201906","2019-06-29","69","29","26","173","17","173","O3","TIDAK SEHAT","DKI2"
"201906","2019-06-30","64","27","16","83","12","83","O3","SEDANG","DKI3"
"201907","2019-07-01","69","26","23","96","15","96","O3","SEDANG","DKI4"
"201907","2019-07-02","71","26","24","108","15","108","O3","TIDAK SEHAT","DKI5"
"201907","2019-07-03","71","28","21","87","16","87","O3","SEDANG","DKI5"
"201907","2019-07-04","77","25","20","78","16","78","O3","SEDANG","DKI2"
"201907","2019-07-05","67","26","23","91","13","91","O3","SEDANG","DKI2"
"201907","2019-07-06","62","27","22","82","13","82","O3","SEDANG","DKI3"
"201907","2019-07-07","63","26","12","58","7","63","PM10","SEDANG","DKI1"
"201907","2019-07-08","61","27","17","84","10","84","O3","SEDANG","DKI3"
"201907","2019-07-09","69","26","22","111","18","111","O3","TIDAK SEHAT","DKI2"
"201907","2019-07-10","64","31","14","91","15","91","O3","SEDANG","DKI3"
"201907","2019-07-11","71","28","20","63","14","71","PM10","SEDANG","DKI4"
"201907","2019-07-12","67","28","17","77","13","77","O3","SEDANG","DKI3"
"201907","2019-07-13","67","27","18","163","14","163","O3","TIDAK SEHAT","DKI4"
"201907","2019-07-14","84","29","22","160","17","160","O3","TIDAK SEHAT","DKI4"
"201907","2019-07-15","70","26","23","77","18","77","O3","SEDANG","DKI3"
"201907","2019-07-16","78","27","24","92","19","92","O3","SEDANG","DKI4"
"201907","2019-07-17","68","27","27","107","19","107","O3","TIDAK SEHAT","DKI5"
"201907","2019-07-18","74","27","23","87","16","87","O3","SEDANG","DKI3"
"201907","2019-07-19","68","28","26","58","18","68","PM10","SEDANG","DKI2"
"201907","2019-07-20","75","27","22","113","22","113","O3","TIDAK SEHAT","DKI5"
"201907","2019-07-21","79","27","18","91","12","91","O3","SEDANG","DKI2"
"201907","2019-07-22","71","25","24","121","21","121","O3","TIDAK SEHAT","DKI5"
"201907","2019-07-23","83","28","23","78","15","83","PM10","SEDANG","DKI2"
"201907","2019-07-24","76","28","20","92","19","92","O3","SEDANG","DKI3"
"201907","2019-07-25","79","28","37","124","25","124","O3","TIDAK SEHAT","DKI5"
"201907","2019-07-26","83","28","21","96","21","96","O3","SEDANG","DKI3"
"201907","2019-07-27","73","27","17","94","13","94","O3","SEDANG","DKI3"
"201907","2019-07-28","90","27","17","115","13","115","O3","TIDAK SEHAT","DKI4"
"201907","2019-07-29","75","27","27","129","17","129","O3","TIDAK SEHAT","DKI3"
"201907","2019-07-30","83","27","26","99","15","99","O3","SEDANG","DKI2"
