"periode_data","tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"201505","2015-05-19","84","18","31","105","19","105","O3","TIDAK SEHAT","DKI3"
"201505","2015-05-20","83","18","30","97","22","97","O3","SEDANG","DKI3"
"201505","2015-05-21","87","18","32","84","19","87","PM10","SEDANG","DKI4"
"201505","2015-05-22","85","19","27","90","17","90","O3","SEDANG","DKI5"
"201505","2015-05-23","93","22","36","90","18","93","PM10","SEDANG","DKI4"
"201505","2015-05-24","87","24","34","77","17","87","PM10","SEDANG","DKI4"
"201505","2015-05-25","83","20","29","83","14","83","PM10","SEDANG","DKI3"
"201505","2015-05-26","78","19","41","85","17","85","O3","SEDANG","DKI3"
"201505","2015-05-27","96","20","32","74","16","96","PM10","SEDANG","DKI4"
"201505","2015-05-28","69","20","24","37","11","69","PM10","SEDANG","DKI4"
"201505","2015-05-29","64","20","30","64","22","64","PM10","SEDANG","DKI1"
"201505","2015-05-30","74","20","36","70","18","74","PM10","SEDANG","DKI2"
"201505","2015-05-31","70","20","53","83","14","83","O3","SEDANG","DKI3"
"201506","2015-06-01","74","20","35","53","17","74","PM10","SEDANG","DKI2"
"201506","2015-06-02","89","20","45","77","17","89","PM10","SEDANG","DKI4"
"201506","2015-06-03","61","19","30","84","16","84","O3","SEDANG","DKI3"
"201506","2015-06-04","79","19","42","60","12","79","PM10","SEDANG","DKI4"
"201506","2015-06-05","63","21","31","51","16","63","PM10","SEDANG","DKI4"
"201506","2015-06-06","79","25","42","60","22","79","PM10","SEDANG","DKI4"
"201506","2015-06-07","86","22","37","65","16","86","PM10","SEDANG","DKI4"
"201506","2015-06-08","85","21","45","54","15","85","PM10","SEDANG","DKI4"
"201506","2015-06-09","91","21","43","51","18","91","PM10","SEDANG","DKI4"
"201506","2015-06-10","78","27","49","93","21","93","O3","SEDANG","DKI5"
"201506","2015-06-11","71","19","44","90","28","90","O3","SEDANG","DKI3"
"201506","2015-06-12","86","24","43","107","19","107","O3","TIDAK SEHAT","DKI2"
"201506","2015-06-13","81","30","39","94","32","94","O3","SEDANG","DKI5"
"201506","2015-06-14","89","30","37","113","22","113","O3","TIDAK SEHAT","DKI3"
"201506","2015-06-15","85","28","36","108","26","108","O3","TIDAK SEHAT","DKI3"
"201506","2015-06-16","92","32","47","115","29","115","O3","TIDAK SEHAT","DKI3"
"201506","2015-06-17","115","37","48","78","25","115","PM10","TIDAK SEHAT","DKI4"
"201506","2015-06-18","83","34","29","80","19","83","PM10","SEDANG","DKI4"
"201506","2015-06-19","79","32","30","87","28","87","O3","SEDANG","DKI2"
"201506","2015-06-20","79","37","34","77","25","79","PM10","SEDANG","DKI4"
"201506","2015-06-21","92","31","28","99","17","99","O3","SEDANG","DKI2"
"201506","2015-06-22","98","26","31","97","20","98","PM10","SEDANG","DKI4"
"201506","2015-06-23","109","30","32","98","30","109","PM10","TIDAK SEHAT","DKI4"
"201506","2015-06-24","86","34","34","94","29","94","O3","SEDANG","DKI3"
"201506","2015-06-25","101","33","38","72","23","101","PM10","TIDAK SEHAT","DKI5"
"201506","2015-06-26","114","34","31","67","18","114","PM10","TIDAK SEHAT","DKI5"
"201506","2015-06-27","105","33","34","61","12","105","PM10","TIDAK SEHAT","DKI5"
"201506","2015-06-28","72","26","26","84","15","84","O3","SEDANG","DKI2"
"201506","2015-06-29","94","28","35","101","22","101","O3","TIDAK SEHAT","DKI4"
"201506","2015-06-30","95","31","33","101","22","101","O3","TIDAK SEHAT","DKI3"
"201507","2015-07-01","83","32","30","86","24","86","O3","SEDANG","DKI4"
"201507","2015-07-02","86","34","37","93","21","93","O3","SEDANG","DKI4"
"201507","2015-07-03","75","35","31","99","19","99","O3","SEDANG","DKI5"
"201507","2015-07-04","77","40","22","94","22","94","O3","SEDANG","DKI3"
"201507","2015-07-05","114","35","52","87","20","114","PM10","TIDAK SEHAT","DKI5"
"201507","2015-07-06","84","34","25","95","21","95","O3","SEDANG","DKI3"
"201507","2015-07-07","83","37","27","123","27","123","O3","TIDAK SEHAT","DKI3"
"201507","2015-07-08","81","33","26","109","21","109","O3","TIDAK SEHAT","DKI3"
"201507","2015-07-09","81","32","21","95","22","95","O3","SEDANG","DKI3"
"201507","2015-07-10","73","35","27","86","27","86","O3","SEDANG","DKI3"
"201504","2015-04-01","65","19","37","80","21","80","O3","SEDANG","DKI2"
"201504","2015-04-02","67","13","45","88","22","88","O3","SEDANG","DKI2"
"201504","2015-04-03","51","14","50","54","17","54","O3","SEDANG","DKI3"
"201504","2015-04-04","75","18","52","108","21","108","O3","TIDAK SEHAT","DKI2"
"201504","2015-04-05","75","19","45","77","23","77","O3","SEDANG","DKI5"
"201504","2015-04-06","71","17","41","61","20","71","PM10","SEDANG","DKI4"
"201504","2015-04-07","57","17","29","33","12","57","PM10","SEDANG","DKI4"
"201504","2015-04-08","65","15","46","86","19","86","O3","SEDANG","DKI2"
"201504","2015-04-09","69","14","42","86","23","86","O3","SEDANG","DKI2"
"201504","2015-04-10","87","18","64","87","39","87","PM10","SEDANG","DKI3"
"201504","2015-04-11","59","17","36","62","15","62","O3","SEDANG","DKI2"
"201504","2015-04-12","62","22","35","88","25","88","O3","SEDANG","DKI3"
"201504","2015-04-13","74","21","35","65","17","74","PM10","SEDANG","DKI1"
"201504","2015-04-14","74","22","54","67","30","74","PM10","SEDANG","DKI4"
