Model,MAE,RMSE,MAPE,R2,Ranking
XGBoost,3.021907726538096,3.7676432797918005,17.13690370224978,0.7705642088596094,1
LightGBM,3.0317268183322605,3.7752637432942535,17.089840692498452,0.7696351531538604,2
Prophet,4.159561546848031,5.208004418207844,22.718142307491014,0.5616063034718268,3
